大学,学部,学科,位置,文理,方式,第几期,併願,能使用EJU,需要EJU科目,英语,JLPT,校内考形式,网上出愿开始时间,网上出愿截止时间,邮寄开始时间,邮寄截止时间,校内考时间1,校内考时间2,发榜时间
名古屋大学,農学部,資源生物科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,農学部,応用生命科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,法学部,,愛知県名古屋市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
九州大学,農学部,,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2",要,不要,纯书类,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,理学部,物理学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,理学部,化学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,理学部,数学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,理学部,地球惑星科学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,理学部,生物学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,電気情報工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,材料工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,応用化学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面接,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,化学工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面接,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,融合基礎工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,土木工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,建築学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,機械工学課程,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,航空宇宙工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面接,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,量子物理工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,船舶海洋工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,工学部,地球資源システム工学科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,共 創 学 部,,福岡県福岡市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 総合科目または数学コース1または数学コース2または理科",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,文 学 部,,福岡県福岡市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,法 学 部,,福岡県福岡市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,経済学部,経 済 ・ 経 営 学 科,福岡県福岡市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,経済学部,経 済 工 学 科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,医学部,医 学 科 ・ 生 命 科 学 科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,医学部,保 健 学 科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,歯 学 部,,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,薬 学 部,,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,芸術工学 部,芸術工学 科,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,,2026-02-27 00:00:00,2026-03-03 00:00:00
九州大学,農 学 部,,福岡県福岡市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"日本語, 面试（线下）",2025-10-27 00:00:00,2025-11-07 00:00:00,2025-11-04 00:00:00,2025-11-14 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-03-03 00:00:00
北海道大学,文学部,,北海道札幌市,文,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース1or2都可以, 綜合科目",要,不要,"小论文, 面试（线下）",2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,教育学部,,北海道札幌市,文,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース1or2都可以, 綜合科目",要,不要,"小论文, 面试（线下）",2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,法学部,,北海道札幌市,文,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース1or2都可以, 綜合科目",要,不要,"小论文, 面试（线下）",2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,経済学部,,北海道札幌市,文,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース1or2都可以, 綜合科目",要,不要,"小论文, 面试（线下）",2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,理学部,数学科,北海道札幌市,理,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,理学部,物理学科,北海道札幌市,理,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,理学部,化学科,北海道札幌市,理,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,理学部,生物学科,北海道札幌市,理,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,理学部,地球惑星科学科,北海道札幌市,理,外国人入試,只有一期,,前前年11月，前年6和11月，当年6月,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线上）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,工学部,応用理工学科,北海道札幌市,理,外国人入試,只有一期,,前年成绩和当年成绩都可以用,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,工学部,情報エレクトロニクス学科,北海道札幌市,理,外国人入試,只有一期,,前年成绩和当年成绩都可以用,"日语, 数学コース2, 化学または生物, 物理（必須）",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,工学部,機械知能工学科,北海道札幌市,理,外国人入試,只有一期,,前年成绩和当年成绩都可以用,"日语, 数学コース2, 化学または生物, 物理（必須）",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,工学部,環境社会工学科,北海道札幌市,理,外国人入試,只有一期,,前年成绩和当年成绩都可以用,"日语, 数学コース2, 化学または生物, 物理（必須）",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
北海道大学,農学部,,北海道札幌市,理,外国人入試,只有一期,,前年成绩和当年成绩都可以用,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-09-10 00:00:00,2025-09-25 00:00:00,2025-09-16 00:00:00,2025-09-25 00:00:00,2025-11-16 00:00:00,,2025-12-09 00:00:00
東北大学,理学部,数学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,理学部,物理学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,理学部,化学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,理学部,地球惑星科学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,理学部,生命理学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,工学部,機械知能・航空工学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,工学部,電気情報工学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,工学部,化学バイオ工学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,工学部,材料科学総合学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,工学部,建築社会環境工学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,農学部,生物生産科学科,宮城県仙台市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"面试（线下）, 学力試験",2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
東北大学,文学部,人文社会学 科,宮城県仙台市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 綜合科目",要,不要,面试（线下）,2026-01-03 00:00:00,2026-02-05 00:00:00,2026-02-02 00:00:00,2026-02-05 00:00:00,2026-03-10 00:00:00,,2026-03-18 00:00:00
