大学,一次统计人,2026更新人,募集要項年份,文理,学部,学科,第几期,方式,位置,併願,网上出愿开始时间,网上出愿截止时间,邮寄开始时间,邮寄截止时间,必着/消印,需要EJU科目,能使用EJU,推荐日语分数,推荐托福分数,英语,可以使用的英语考试,JLPT,是否需要推荐信,校内考形式,学信网认证,校内考时间1,校内考时间2,发榜时间,最低EJU总分成绩（如有要求）,最低日语成绩（如有要求）,最低英语成绩（如有要求）,报录比,TOEFL code,其他备注,父记录,父记录 (1),最低英语成绩（如有要求） (1),报录比 (1),TOEFL code (1),其他备注 (1),父记录 (2),父记录 (1) (1),英语成绩类型,英语成绩推荐分数,JLPT等级,JLPT分数要求,EJU推荐分数,出愿材料清单,推荐信要求详细,出愿流程详细,报录比（2024）,报录比（2023）,报录比（2022）,合格者成绩分布,数据来源,爬取时间,爬取URL,审核状态,审核人,审核时间,审核备注,数据质量评分
名古屋大学,徐菁,乔欣欣,2026,理,理学部,地球惑星科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,330+,80+,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-29,,2026-02-11,640,330,71,0/1,0312,日本語で実施（数学，地学，物理，化学及び生物に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,農学部,生物環境科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,320+,80+,要,"托福, 雅思",不要,否,"面试（线下）, 小论文",不要,2026-01-30,,2026-02-11,600,300,61,,0312,面接 日本語で実施（基礎学力としての日本語，理科，数学に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,農学部,資源生物科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,320+,80+,要,"托福, 雅思",不要,否,"面试（线下）, 小论文",不要,2026-01-30,,2026-02-11,600,300,61,,0312,面接 日本語で実施（基礎学力としての日本語，理科，数学に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,農学部,応用生命科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,320+,80+,要,"托福, 雅思",不要,否,"面试（线下）, 小论文",不要,2026-01-30,,2026-02-11,600,300,61,,0312,面接 日本語で実施（基礎学力としての日本語，理科，数学に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,文,文学部,,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-30,,2026-02-11,,220,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,文,教育学部 ,,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,文,経済学部,,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-29,,2026-02-11,,,71,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,情報学部,自然情報学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,情報学部,人間・社会情報学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,情報学部,コンピュータ科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,医学部,医学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"面试（线下）, 校内テスト",不要,2026-01-30,,2026-02-11,,,91,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,医学部,保健学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,農学部,生物環境科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,農学部,資源生物科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,理,農学部,応用生命科学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 理科2科目選択, 数学コース2",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-30,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,牛犇,牛犇,2026,文,法学部,,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思",不要,否,"小论文, 面试（线下）",不要,2026-01-29,,2026-02-11,,,61,,0312,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,農学部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2",当年6月or11月都可,320+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,纯书类,不要,2026-02-26,2026-02-27,2026-03-03,575,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,理学部,物理学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,4/22,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,理学部,化学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,理学部,数学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,理学部,地球惑星科学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,理学部,生物学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）, 生物（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,電気情報工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,材料工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,応用化学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,,要,"托福, 雅思, ケンブリッジ英検",不要,,面接,,,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,化学工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面接,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,融合基礎工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,,要,"托福, 雅思, ケンブリッジ英検",不要,,面试（线下）,,,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,土木工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,建築学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,機械工学課程,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,航空宇宙工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,,要,"托福, 雅思, ケンブリッジ英検",不要,,面接,,,2026-02-27,2026-03-03,,,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,量子物理工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,船舶海洋工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,徐菁,乔欣欣,2026,理,工学部,地球資源システム工学科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 物理（必須）, 化学（必須）",当年6月or11月都可,330+,80+,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,300,,,0411,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,文,共 創 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 総合科目または数学コース1または数学コース2または理科",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,文,文 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,文, 法 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,文,経済学部,経 済 ・ 経 営 学 科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 綜合科目, 数学コース1",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,経済学部,経 済 工 学 科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,医学部,医 学 科 ・ 生 命 科 学 科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,350+,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,350,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,医学部,保 健 学 科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,350,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,歯 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,350+,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,300,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,薬 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,350+,,要,"托福, 雅思, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,350,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,芸術工学 部,芸術工学 科,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,,,要,"托福, 雅思, ケンブリッジ英検",不要,否,面试（线下）,不要,,2026-02-27,2026-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
九州大学,牛犇,牛犇,2026,理,農 学 部,,只有一期,外国人入試,福岡県福岡市,,2025-10-27,2025-11-07,2025-11-04,2025-11-14,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,300+,,要,"托福, ケンブリッジ英検",不要,否,"日本語, 面试（线下）",不要,2026-02-26,2026-02-27,2026-03-03,,300,,,,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
北海道大学,,綦家昊,2026,文,文学部,,只有一期,外国人入試,北海道札幌市,,2025-09-10,2025-09-25,2025-09-16,2025-09-25,必着,"日语, 数学コース1or2都可以, 綜合科目",前前年11月，前年6和11月，当年6月,270+,,要,托福,不要,否,"小论文, 面试（线下）",不要,2025-11-16,,2025-12-09,,,,,0362,・小 論 文：読解力、論理的思考力、問題発見能力、表現力等を問う。 ・面 接：人間や人間の社会・文化・歴史に対する知的関心の度合い、学ぶことに対する 目的意識・意欲、表現力等を問う。 ・英 語：「TOEFL-iBT（Home Edition 可）の成績」の提出を課す。,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
北海道大学,,綦家昊,2026,文,教育学部,,只有一期,外国人入試,北海道札幌市,,2025-09-10,2025-09-25,2025-09-16,2025-09-25,必着,"日语, 数学コース1or2都可以, 綜合科目",前前年11月，前年6和11月，当年6月,270+,,要,"托福, 雅思, 托业, 英検, ケンブリッジ英検",不要,否,"小论文, 面试（线下）",不要,2025-11-16,,2025-12-09,,,,,0362,第１次選考に合格した者に対して、課題論文を課し、面接を行い、日本留学試験及び最終修了 学校の成績証明書等の結果を総合して選考を行います。 ・課題論文：読解力、論理的思考力及び表現力等を総合的に問う。 ・面 接：目的意識、意欲、論理的思考力、表現力等を問う。 ・英 語：「TOEFL、TOEIC L&R、国連英検、ケンブリッジ英検、実用英語技能検定試験 （日本・英検）、IELTS あるいはこれと同等と認められる英語能力の検定試験 の成績通知書等」の提出を課す。,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
